,no,distribution,ratings_count,imdb_rating,title_year,movie_year,movie_title,imdb_id,douban_id,douban_rating,douban_ratings_count,douban_title,genre1,genre2,genre3
36,95,122100,81852,6.4,8MM (1999),1999,8MM,tt0134273,1296153,7.2,14813,8MM,Drama,Mystery,Mystery
37,96,1113,52471,8.1,8½ (1963),1963,8½,tt0056801,1361276,8.5,13244,8½,Crime,Mystery,Mystery
38,98,1111000,13616,4.9,9 Songs (2004),2004,9 Songs,tt0411705,1316505,6.8,37309,9 Songs,Drama,Fantasy,Fantasy
39,101,1321,333265,8.1,A Beautiful Mind (2001),2001,A Beautiful Mind,tt0268978,1306029,8.8,180722,A Beautiful Mind,Drama,Music,Music
40,102,13211,10134,7.1,A Better Life (2011),2011,A Better Life,tt1554091,4168733,8.0,5365,A Better Life,Biography,Drama,Drama
41,106,13200,141055,7.2,A Bug's Life (1998),1998,A Bug's Life,tt0120623,1291573,7.6,43176,A Bug's Life,Drama,,
42,110,12101,44040,6.7,A Christmas Carol (2009),2009,A Christmas Carol,tt1067106,2267372,7.0,11479,A Christmas Carol,Animation,Adventure,Adventure
43,112,111001,39515,5.6,A Cinderella Story (2004),2004,A Cinderella Story,tt0356470,1308764,6.6,33836,A Cinderella Story,Animation,Comedy,Comedy
44,114,1223,344884,8.4,A Clockwork Orange (1971),1971,A Clockwork Orange,tt0066921,1292233,8.4,114146,A Clockwork Orange,Comedy,Family,Family
45,115,1222,21874,8.3,A Close Shave (1995),1995,A Close Shave,tt0112691,1296214,8.8,6408,Wallace & Gromit: A Close Shave,Crime,Drama,Drama
46,117,122100,55580,6.5,A Dangerous Method (2011),2011,A Dangerous Method,tt1571222,4221515,6.4,7991,A  Dangerous Method,Animation,Short,Short
47,124,2311,83610,7.6,A Fish Called Wanda (1988),1988,A Fish Called Wanda,tt0095159,1292440,7.7,14327,A Fish Called Wanda,Biography,Drama,Drama
48,126,1121000,100976,5.3,A Good Day to Die Hard (2013),2013,A Good Day to Die Hard,tt1606378,4312428,6.2,34567,A Good Day to Die Hard,Comedy,Crime,Crime
49,129,12201,50360,6.8,A Good Year (2006),2006,A Good Year,tt0401445,1482101,7.4,10008,A Good Year,Action,Crime,Crime
50,131,2311,15325,7.8,A Grand Day Out (1989),1989,A Grand Day Out,tt0104361,1309237,8.5,6082,Wallace & Gromit: A Grand Day Out,Comedy,Drama,Drama
51,136,12310,142797,7.5,A History of Violence (2005),2005,A History of Violence,tt0399146,1422917,7.4,10011,A History of Violence,Animation,Short,Short
52,142,1212,17225,7.5,A Little Princess (1995),1995,A Little Princess,tt0113670,1293993,8.5,8070,A Little Princess,Crime,Drama,Drama
53,144,22101,43676,6.4,A Lot Like Love (2005),2005,A Lot Like Love,tt0391304,1309192,7.6,26703,A Lot Like Love,Drama,Family,Family
